graphic,ftu,organ
PMC10031308_gr7_panel_1.jpg,intercalated duct of pancreas,pancreas
PMC10302201_metabolites-13-00764-g004_panel_1.jpg,intercalated duct of pancreas,pancreas
PMC10302201_metabolites-13-00764-g004_panel_2.jpg,intercalated duct of pancreas,pancreas
PMC10302201_metabolites-13-00764-g004_panel_3.jpg,intercalated duct of pancreas,pancreas
PMC10302201_metabolites-13-00764-g004_panel_4.jpg,intercalated duct of pancreas,pancreas
PMC10406694_441_2023_3789_Fig1_HTML_panel_1.jpg,intercalated duct of pancreas,pancreas
PMC10794162_cureus-0015-00000050749-i01_panel_1.jpg,intercalated duct of pancreas,pancreas
PMC10901739_41586_2024_7069_Fig4_HTML_panel_1.jpg,intercalated duct of pancreas,pancreas
PMC10901739_41586_2024_7069_Fig8_ESM_panel_1.jpg,intercalated duct of pancreas,pancreas
PMC11471396_CPR-57-e13646-g001_panel_1.jpg,intercalated duct of pancreas,pancreas
PMC11471396_CPR-57-e13646-g004_panel_1.jpg,intercalated duct of pancreas,pancreas
PMC11471396_CPR-57-e13646-g004_panel_2.jpg,intercalated duct of pancreas,pancreas
PMC11524602_cureus-0016-00000070465-i04_panel_1.jpg,intercalated duct of pancreas,pancreas
PMC11524602_cureus-0016-00000070465-i04_panel_2.jpg,intercalated duct of pancreas,pancreas
PMC11524602_cureus-0016-00000070465-i04_panel_3.jpg,intercalated duct of pancreas,pancreas
PMC11524602_cureus-0016-00000070465-i04_panel_4.jpg,intercalated duct of pancreas,pancreas
PMC11557986_CAM4-13-e70407-g001_panel_1.jpg,intercalated duct of pancreas,pancreas
PMC1977024_brjcancer00100-0040-a_panel_1.jpg,intercalated duct of pancreas,pancreas
PMC1977024_brjcancer00100-0041-a_panel_1.jpg,intercalated duct of pancreas,pancreas
PMC3615223_fphys-04-00059-a002_panel_1.jpg,intercalated duct of pancreas,pancreas
PMC3615223_fphys-04-00059-g006_panel_1.jpg,intercalated duct of pancreas,pancreas
PMC3692403_mv-v19-1259-f2_panel_1.jpg,intercalated duct of pancreas,pancreas
PMC3692403_mv-v19-1259-f2_panel_2.jpg,intercalated duct of pancreas,pancreas
PMC3692403_mv-v19-1259-f2_panel_3.jpg,intercalated duct of pancreas,pancreas
PMC3692403_mv-v19-1259-f4_panel_1.jpg,intercalated duct of pancreas,pancreas
PMC3692403_mv-v19-1259-f4_panel_2.jpg,intercalated duct of pancreas,pancreas
PMC3692403_mv-v19-1259-f4_panel_3.jpg,intercalated duct of pancreas,pancreas
PMC3692403_mv-v19-1259-f4_panel_4.jpg,intercalated duct of pancreas,pancreas
PMC3692403_mv-v19-1259-f5_panel_1.jpg,intercalated duct of pancreas,pancreas
PMC3692403_mv-v19-1259-f5_panel_2.jpg,intercalated duct of pancreas,pancreas
PMC3868914_fphys-04-00380-g0002_panel_1.jpg,intercalated duct of pancreas,pancreas
PMC4303126_13058_2014_446_Fig3_HTML_panel_1.jpg,intercalated duct of pancreas,pancreas
PMC4303126_13058_2014_446_Fig3_HTML_panel_2.jpg,intercalated duct of pancreas,pancreas
PMC4381625_fonc-05-00074-g001_panel_1.jpg,intercalated duct of pancreas,pancreas
PMC4645184_srep16759-f2_panel_1.jpg,intercalated duct of pancreas,pancreas
PMC4645184_srep16759-f2_panel_2.jpg,intercalated duct of pancreas,pancreas
PMC4645184_srep16759-f2_panel_3.jpg,intercalated duct of pancreas,pancreas
PMC4645184_srep16759-f2_panel_4.jpg,intercalated duct of pancreas,pancreas
PMC4645184_srep16759-f2_panel_5.jpg,intercalated duct of pancreas,pancreas
PMC4645184_srep16759-f2_panel_6.jpg,intercalated duct of pancreas,pancreas
PMC4645184_srep16759-f2_panel_7.jpg,intercalated duct of pancreas,pancreas
PMC4645184_srep16759-f2_panel_8.jpg,intercalated duct of pancreas,pancreas
PMC4645184_srep16759-f3_panel_1.jpg,intercalated duct of pancreas,pancreas
PMC4645184_srep16759-f3_panel_2.jpg,intercalated duct of pancreas,pancreas
PMC4645184_srep16759-f6_panel_1.jpg,intercalated duct of pancreas,pancreas
PMC4645184_srep16759-f6_panel_2.jpg,intercalated duct of pancreas,pancreas
PMC4645184_srep16759-f6_panel_3.jpg,intercalated duct of pancreas,pancreas
PMC4645184_srep16759-f6_panel_4.jpg,intercalated duct of pancreas,pancreas
PMC4645184_srep16759-f6_panel_5.jpg,intercalated duct of pancreas,pancreas
PMC4645184_srep16759-f6_panel_6.jpg,intercalated duct of pancreas,pancreas
PMC4645184_srep16759-f6_panel_7.jpg,intercalated duct of pancreas,pancreas
PMC4645184_srep16759-f7_panel_1.jpg,intercalated duct of pancreas,pancreas
PMC4645184_srep16759-f7_panel_2.jpg,intercalated duct of pancreas,pancreas
PMC4645184_srep16759-f7_panel_3.jpg,intercalated duct of pancreas,pancreas
PMC4645184_srep16759-f7_panel_4.jpg,intercalated duct of pancreas,pancreas
PMC4645184_srep16759-f7_panel_5.jpg,intercalated duct of pancreas,pancreas
PMC4645184_srep16759-f7_panel_6.jpg,intercalated duct of pancreas,pancreas
PMC4645184_srep16759-f7_panel_7.jpg,intercalated duct of pancreas,pancreas
PMC4645184_srep16759-f7_panel_8.jpg,intercalated duct of pancreas,pancreas
PMC4820710_srep23960-f5_panel_1.jpg,intercalated duct of pancreas,pancreas
PMC4924738_oncotarget-07-14605-g001_panel_1.jpg,intercalated duct of pancreas,pancreas
PMC4924738_oncotarget-07-14605-g001_panel_2.jpg,intercalated duct of pancreas,pancreas
PMC4924738_oncotarget-07-14605-g001_panel_3.jpg,intercalated duct of pancreas,pancreas
PMC4924738_oncotarget-07-14605-g001_panel_4.jpg,intercalated duct of pancreas,pancreas
PMC4924738_oncotarget-07-14605-g004_panel_1.jpg,intercalated duct of pancreas,pancreas
PMC4924738_oncotarget-07-14605-g004_panel_2.jpg,intercalated duct of pancreas,pancreas
